iter	Passed	Remaining
0	161	161564
1	162	81244
2	163	54484
3	165	41088
4	166	33064
5	167	27697
6	168	23849
7	169	20971
8	171	18845
9	172	17105
10	174	15668
11	175	14436
12	176	13403
13	177	12519
14	178	11751
15	180	11074
16	181	10478
17	182	9944
18	184	9511
19	185	9100
20	186	8713
21	188	8360
22	189	8038
23	190	7746
24	191	7465
25	192	7213
26	193	6981
27	194	6764
28	195	6560
29	198	6402
30	199	6239
31	200	6076
32	201	5918
33	203	5769
34	204	5628
35	205	5501
36	206	5376
37	207	5254
38	208	5143
39	209	5039
40	212	4962
41	213	4875
42	214	4783
43	216	4697
44	217	4612
45	218	4531
46	219	4452
47	220	4377
48	221	4304
49	222	4235
50	224	4169
51	225	4117
52	227	4063
53	228	4004
54	229	3947
55	230	3891
56	232	3838
57	233	3786
58	234	3736
59	235	3687
60	236	3640
61	237	3595
62	239	3565
63	241	3528
64	242	3487
65	243	3446
66	244	3406
67	245	3368
68	247	3334
69	248	3299
70	249	3266
71	250	3233
72	252	3200
73	253	3178
74	255	3152
75	256	3121
76	257	3091
77	259	3062
78	260	3033
79	261	3008
80	262	2981
81	263	2955
82	265	2928
83	266	2903
84	267	2883
85	270	2875
86	272	2856
87	273	2834
88	274	2811
89	275	2789
90	276	2763
91	277	2742
92	279	2721
93	280	2699
94	281	2679
95	283	2669
96	285	2653
97	286	2635
98	287	2618
99	288	2600
100	290	2584
101	291	2568
102	293	2552
103	294	2537
104	295	2522
105	298	2516
106	300	2504
107	301	2490
108	302	2474
109	303	2458
110	305	2443
111	306	2428
112	307	2414
113	309	2401
114	310	2388
115	313	2386
116	314	2374
117	315	2359
118	317	2346
119	318	2333
120	319	2320
121	320	2307
122	321	2294
123	322	2281
124	324	2270
125	326	2262
126	327	2249
127	328	2238
128	329	2228
129	330	2213
130	332	2202
131	333	2192
132	334	2181
133	335	2170
134	337	2160
135	339	2153
136	341	2149
137	343	2143
138	344	2134
139	346	2126
140	347	2118
141	349	2113
142	378	2265
143	380	2260
144	382	2255
145	385	2254
146	389	2260
147	391	2255
148	393	2248
149	395	2243
150	397	2237
151	400	2232
152	403	2231
153	405	2226
154	407	2221
155	410	2222
156	412	2216
157	414	2211
158	418	2212
159	419	2204
160	421	2197
161	423	2191
162	425	2184
163	427	2180
164	429	2173
165	431	2170
166	433	2163
167	435	2155
168	436	2147
169	438	2140
170	440	2134
171	441	2127
172	443	2120
173	446	2121
174	448	2115
175	450	2107
176	451	2100
177	453	2093
178	454	2086
179	456	2079
180	458	2072
181	463	2081
182	464	2075
183	467	2072
184	469	2067
185	471	2062
186	473	2058
187	478	2065
188	481	2064
189	483	2062
190	487	2066
191	490	2062
192	492	2058
193	494	2052
194	495	2043
195	497	2039
196	498	2033
197	501	2031
198	503	2026
199	505	2022
200	507	2016
201	508	2009
202	510	2003
203	512	1998
204	513	1993
205	515	1986
206	516	1980
207	519	1978
208	521	1973
209	524	1973
210	526	1968
211	528	1963
212	529	1957
213	533	1958
214	535	1954
215	542	1967
216	543	1960
217	545	1958
218	550	1964
219	553	1961
220	554	1956
221	556	1950
222	558	1945
223	560	1940
224	562	1938
225	564	1934
226	566	1930
227	568	1925
228	570	1920
229	572	1916
230	574	1911
231	576	1907
232	578	1904
233	580	1900
234	582	1894
235	583	1889
236	585	1884
237	587	1879
238	588	1874
239	590	1869
240	592	1865
241	593	1860
242	595	1854
243	596	1848
244	598	1843
245	599	1838
246	601	1833
247	602	1828
248	604	1823
249	607	1822
250	609	1818
251	610	1813
252	612	1808
253	614	1803
254	615	1799
255	617	1794
256	619	1791
257	621	1788
258	623	1784
259	625	1779
260	626	1775
261	628	1770
262	630	1765
263	631	1761
264	634	1760
265	636	1757
266	638	1753
267	640	1749
268	642	1745
269	643	1740
270	645	1736
271	646	1731
272	651	1735
273	653	1732
274	655	1728
275	657	1724
276	658	1719
277	660	1714
278	661	1710
279	664	1708
280	666	1704
281	667	1699
282	669	1695
283	670	1691
284	672	1687
285	674	1683
286	675	1679
287	679	1679
288	680	1675
289	682	1672
290	684	1668
291	686	1665
292	688	1661
293	690	1657
294	693	1656
295	695	1653
296	697	1650
297	698	1646
298	700	1641
299	702	1638
300	704	1635
301	707	1634
302	708	1630
303	710	1627
304	712	1623
305	714	1619
306	716	1618
307	724	1627
308	726	1624
309	729	1623
310	731	1620
311	734	1619
312	738	1620
313	739	1615
314	740	1610
315	742	1606
316	743	1601
317	744	1597
318	746	1593
319	749	1591
320	750	1587
321	751	1583
322	753	1579
323	754	1574
324	756	1570
325	757	1566
326	758	1561
327	760	1557
328	761	1552
329	763	1550
330	765	1546
331	766	1542
332	768	1538
333	769	1534
334	770	1530
335	772	1526
336	773	1521
337	774	1517
338	776	1514
339	778	1511
340	779	1507
341	781	1503
342	782	1498
343	783	1494
344	785	1490
345	786	1486
346	787	1482
347	788	1478
348	790	1474
349	792	1472
350	794	1469
351	795	1465
352	797	1461
353	798	1457
354	800	1453
355	801	1449
356	802	1445
357	803	1441
358	805	1437
359	807	1435
360	808	1431
361	809	1427
362	811	1423
363	812	1420
364	814	1416
365	815	1412
366	816	1408
367	818	1405
368	819	1402
369	823	1401
370	824	1398
371	826	1395
372	827	1391
373	829	1387
374	830	1384
375	832	1380
376	833	1377
377	836	1376
378	838	1373
379	840	1370
380	841	1367
381	843	1364
382	844	1360
383	846	1357
384	848	1354
385	850	1353
386	852	1350
387	853	1346
388	856	1345
389	857	1341
390	859	1338
391	861	1335
392	862	1332
393	865	1331
394	867	1328
395	869	1325
396	870	1322
397	872	1319
398	873	1316
399	875	1312
400	876	1309
401	878	1306
402	880	1304
403	883	1302
404	884	1299
405	886	1296
406	887	1293
407	889	1290
408	891	1287
409	892	1285
410	895	1282
411	897	1280
412	899	1278
413	901	1276
414	903	1273
415	905	1271
416	908	1270
417	910	1267
418	912	1265
419	914	1262
420	915	1259
421	917	1256
422	919	1254
423	921	1252
424	923	1249
425	925	1247
426	927	1244
