iter	Passed	Remaining
0	1	124
1	2	114
2	3	112
3	4	109
4	5	108
5	6	109
6	8	111
7	9	110
8	11	116
9	13	119
10	14	118
11	15	114
12	16	110
13	17	110
14	18	107
15	19	103
16	20	102
17	22	102
18	23	100
19	24	99
20	25	97
21	27	97
22	28	94
23	29	92
24	30	91
25	31	88
26	32	88
27	33	87
28	35	86
29	36	85
30	38	85
31	39	83
32	40	82
33	41	80
34	42	79
35	43	78
36	45	77
37	46	75
38	49	76
39	50	75
40	51	74
41	52	72
42	53	71
43	54	69
44	55	68
45	56	66
46	58	65
47	59	64
48	60	63
49	61	61
50	63	60
51	64	59
52	65	57
53	66	56
54	67	55
55	69	54
56	70	53
57	71	52
58	73	51
59	75	50
60	76	48
61	77	47
62	78	45
63	79	44
64	80	43
65	81	42
66	83	41
67	85	40
68	86	38
69	87	37
70	88	36
71	89	34
72	90	33
73	91	32
74	93	31
75	96	30
76	98	29
77	99	28
78	100	26
79	102	25
80	104	24
81	106	23
82	108	22
83	109	20
84	110	19
85	112	18
86	113	16
87	114	15
88	115	14
89	116	12
90	117	11
91	119	10
92	120	9
93	121	7
94	123	6
95	124	5
96	125	3
97	126	2
98	127	1
99	128	0
