iter	Passed	Remaining
0	164	164182
1	165	82801
2	167	55814
3	169	42267
4	171	34163
5	175	29053
6	177	25141
7	179	22252
8	181	19958
9	183	18123
10	185	16640
11	188	15541
12	191	14503
13	192	13574
14	194	12795
15	196	12087
16	198	11465
17	202	11026
18	205	10610
19	207	10183
20	210	9818
21	214	9552
22	217	9246
23	219	8930
24	221	8624
25	223	8358
26	224	8094
27	225	7826
28	227	7618
29	228	7399
30	229	7177
31	230	6968
32	231	6772
33	231	6585
34	232	6416
35	233	6260
36	234	6112
37	235	5965
38	236	5831
39	237	5695
40	238	5568
41	238	5448
42	240	5349
43	241	5249
44	242	5153
45	244	5061
46	244	4963
47	245	4867
48	246	4776
49	246	4688
50	247	4604
51	248	4522
52	248	4447
53	249	4373
54	250	4300
55	250	4230
56	251	4164
57	252	4099
58	253	4040
59	254	3991
60	255	3937
61	256	3883
62	257	3829
63	258	3775
64	258	3723
65	259	3672
66	260	3624
67	261	3578
68	261	3532
69	262	3487
70	263	3445
71	264	3405
72	265	3367
73	266	3333
74	267	3299
75	268	3266
76	269	3233
77	270	3196
78	271	3161
79	272	3129
80	272	3097
81	273	3064
82	274	3032
83	275	2999
84	275	2968
85	276	2938
86	277	2909
87	278	2882
88	278	2855
89	279	2829
90	280	2800
91	281	2778
92	282	2759
93	283	2735
94	284	2711
95	285	2689
96	286	2666
97	287	2644
98	288	2621
99	288	2600
100	289	2578
101	290	2556
102	291	2535
103	291	2514
104	292	2493
105	293	2472
106	294	2454
107	294	2436
108	296	2421
109	297	2405
110	298	2387
111	298	2370
112	299	2354
113	300	2337
114	301	2321
115	302	2303
116	303	2286
117	303	2269
118	304	2253
119	305	2239
120	306	2224
121	307	2209
122	307	2195
123	308	2180
124	309	2169
125	311	2158
126	311	2143
127	312	2129
128	313	2115
129	313	2099
130	314	2086
131	315	2072
132	315	2059
133	317	2048
134	317	2035
135	318	2021
136	318	2008
137	319	1996
138	320	1983
139	320	1971
140	321	1959
141	322	1948
142	323	1940
143	324	1930
144	325	1920
145	326	1910
146	327	1900
147	328	1890
148	329	1879
149	329	1869
150	330	1858
151	331	1848
152	332	1838
153	333	1830
154	334	1821
155	335	1812
156	335	1803
157	336	1793
158	337	1785
159	338	1778
160	340	1774
161	341	1766
162	342	1758
163	343	1750
164	344	1743
165	345	1735
166	346	1729
167	347	1721
168	348	1715
169	350	1709
170	352	1709
171	354	1705
172	355	1699
173	357	1697
174	358	1691
175	361	1694
176	363	1690
177	365	1686
178	366	1682
179	368	1680
180	369	1674
181	370	1667
182	371	1660
183	373	1655
184	375	1655
185	377	1652
186	379	1648
187	381	1645
188	383	1644
